doc_id,author_id,title,date
FEDERALIST_01,Hamilton,General Introduction,NA
FEDERALIST_02,Jay,Concerning Dangers from Foreign Force and Influence,NA
FEDERALIST_03,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_04,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_05,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_06,Hamilton,Concerning Dangers from Dissensions Between the States,NA
FEDERALIST_07,Hamilton,The Same Subject Continued (Concerning Dangers from Dissensions Between the States),NA
FEDERALIST_08,Hamilton,The Consequences of Hostilities Between the States,NA
FEDERALIST_09,Hamilton,The Union as a Safeguard Against Domestic Faction and Insurrection,NA
FEDERALIST_10,Madison,The Same Subject Continued (The Union as a Safeguard Against Domestic Faction and Insurrection),"November 23, 1787"
FEDERALIST_11,Hamilton,The Utility of the Union in Respect to Commercial Relations and a Navy,NA
FEDERALIST_12,Hamilton,The Utility of the Union In Respect to Revenue,"November 27, 1787"
FEDERALIST_13,Hamilton,Advantage of the Union in Respect to Economy in Government,NA
FEDERALIST_14,Madison,Objections to the Proposed Constitution From Extent of Territory Answered,"November 30, 1787"
FEDERALIST_15,Hamilton,The Insufficiency of the Present Confederation to Preserve the Union,NA
FEDERALIST_16,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 4, 1787"
FEDERALIST_17,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_18,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_19,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_20,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 11, 1787"
FEDERALIST_21,Hamilton,Other Defects of the Present Confederation,NA
FEDERALIST_22,Hamilton,The Same Subject Continued (Other Defects of the Present Confederation),"December 14, 1787"
FEDERALIST_23,Hamilton,The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,"December 18, 1787"
FEDERALIST_24,Hamilton,The Powers Necessary to the Common Defense Further Considered,NA
FEDERALIST_25,Hamilton,The Same Subject Continued (The Powers Necessary to the Common Defense Further Considered),"December 21, 1787"
FEDERALIST_26,Hamilton,The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,NA
FEDERALIST_27,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),"December 25, 1787"
FEDERALIST_28,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),NA
FEDERALIST_29,Hamilton,Concerning the Militia,"January 10, 1788"
FEDERALIST_30,Hamilton,Concerning the General Power of Taxation,"December 28, 1787"
FEDERALIST_31,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 1, 1788"
FEDERALIST_32,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 3, 1788"
FEDERALIST_33,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 3, 1788"
FEDERALIST_34,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 4, 1788"
FEDERALIST_35,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),NA
FEDERALIST_36,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 8, 1788"
FEDERALIST_37,Madison,Concerning the Difficulties of the Convention in Devising a Proper Form of Government,"January 11, 1788"
FEDERALIST_38,Madison,"The Same Subject Continued, and the Incoherence of the Objections to the New Plan Exposed","January 15, 1788"
FEDERALIST_39,Madison,The Conformity of the Plan to Republican Principles,NA
FEDERALIST_40,Madison,The Powers of the Convention to Form a Mixed Government Examined and Sustained,"January 18, 1788"
FEDERALIST_41,Madison,General View of the Powers Conferred by The Constitution,NA
FEDERALIST_42,Madison,The Powers Conferred by the Constitution Further Considered,"January 22, 1788"
FEDERALIST_43,Madison,The Same Subject Continued (The Powers Conferred by the Constitution Further Considered),NA
FEDERALIST_44,Madison,Restrictions on the Authority of the Several States,"January 25, 1788"
FEDERALIST_45,Madison,The Alleged Danger From the Powers of the Union to the State Governments Considered,NA
FEDERALIST_46,Madison,The Influence of the State and Federal Governments Compared,"January 29, 1788"
FEDERALIST_47,Madison,The Particular Structure of the New Government and the Distribution of Power Among Its Different Parts,"February 1, 1788"
FEDERALIST_48,Madison,These Departments Should Not Be So Far Separated as to Have No,"February 1, 1788"
FEDERALIST_49,Disputed,Method of Guarding Against the Encroachments of Any One Department of Government by Appealing to the People Through a Convention,"February 5, 1788"
FEDERALIST_50,Disputed,Periodical Appeals to the People Considered,"February 5, 1788"
FEDERALIST_51,Disputed,The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,"February 8, 1788"
FEDERALIST_52,Disputed,The House of Representatives,"February 8, 1788"
FEDERALIST_53,Disputed,The Same Subject Continued (The House of Representatives),"February 12, 1788"
FEDERALIST_54,Disputed,The Apportionment of Members Among the States,"February 12, 1788"
FEDERALIST_55,Disputed,The Total Number of the House of Representatives,"February 15, 1788"
FEDERALIST_56,Disputed,The Same Subject Continued (The Total Number of the House of Representatives),"February 19, 1788"
FEDERALIST_57,Disputed,The Alleged Tendency of the New Plan to Elevate the Few at the Expense of the Many Considered in Connection with Representation,"February 19, 1788"
FEDERALIST_58,Disputed,Objection That The Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,NA
FEDERALIST_59,Hamilton,Concerning the Power of Congress to Regulate the Election of Members,"February 22, 1788"
FEDERALIST_60,Hamilton,The Same Subject Continued (Concerning the Power of Congress to Regulate the Election of Members),"February 26, 1788"
FEDERALIST_61,Hamilton,The Same Subject Continued (Concerning the Power of Congress to Regulate the Election of Members),"February 26, 1788"
FEDERALIST_62,Disputed,The Senate,NA
FEDERALIST_63,Disputed,The Senate Continued,NA
FEDERALIST_64,Jay,The Powers of the Senate,"March 7, 1788"
FEDERALIST_65,Hamilton,The Powers of the Senate Continued,"March 7, 1788"
FEDERALIST_66,Hamilton,Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,"March 11, 1788"
FEDERALIST_67,Hamilton,The Executive Department,"March 11, 1788"
FEDERALIST_68,Hamilton,The Mode of Electing the President,"March 14, 1788"
FEDERALIST_69,Hamilton,The Real Character of the Executive,"March 14, 1788"
FEDERALIST_70,Hamilton,The Executive Department Further Considered,"March 18, 1788"
FEDERALIST_71,Hamilton,The Duration in Office of the Executive,"March 18, 1788"
FEDERALIST_72,Hamilton,"The Same Subject Continued, and Re-Eligibility of the Executive Considered","March 21, 1788"
FEDERALIST_73,Hamilton,"The Provision For The Support of the Executive, and the Veto Power","March 21, 1788"
FEDERALIST_74,Hamilton,"The Command of the Military and Naval Forces, and the Pardoning Power of the Executive","March 25, 1788"
FEDERALIST_75,Hamilton,The Treaty-Making Power of the Executive,NA
FEDERALIST_76,Hamilton,The Appointing Power of the Executive,"April 1, 1788"
FEDERALIST_77,Hamilton,The Appointing Power Continued and Other Powers of the Executive Considered,"April 4, 1788"
FEDERALIST_78,Hamilton,The Judiciary Department,NA
FEDERALIST_79,Hamilton,The Judiciary Continued,NA
FEDERALIST_80,Hamilton,The Powers of the Judiciary,NA
FEDERALIST_81,Hamilton,"The Judiciary Continued, and the Distribution of the Judicial Authority",NA
FEDERALIST_82,Hamilton,The Judiciary Continued,NA
FEDERALIST_83,Hamilton,The Judiciary Continued in Relation to Trial by Jury,NA
FEDERALIST_84,Hamilton,Certain General and Miscellaneous Objections to the Constitution Considered and Answered,NA
FEDERALIST_85,Hamilton,Concluding Remarks,NA
