text_id,paper_title,paper_discipline,student_level,student_gender,speaker_status,speaker_l1,paper_type,token_count,paper_features
BIO.G0.01.1,The Ecology and Epidemiology of Plague,Biology,Final Year Undergraduate,Female,NS,,Report,5193,"Literature review section, Reference to sources"
BIO.G0.02.1,Host-Parasite Interactions: On the Presumed Sympatric Speciation of Vidua,Biology,Final Year Undergraduate,Male,NS,,Report,2772,"Tables, graphs or figures, Reference to sources"
BIO.G0.02.2,Sensory Drive and Speciation,Biology,Final Year Undergraduate,Male,NS,,Report,776,Reference to sources
BIO.G0.02.3,Plant Pollination Systems: Evolutionary Trends in Generalization and Specialization,Biology,Final Year Undergraduate,Male,NS,,Report,585,Reference to sources
BIO.G0.02.4,"Chromosomal Rearrangements, Recombination Suppression, and Speciation: A Review of Rieseberg 2001",Biology,Final Year Undergraduate,Male,NS,,Report,655,Reference to sources
BIO.G0.02.5,On the Origins of Man: Understanding the Last Two Million Years,Biology,Final Year Undergraduate,Male,NS,,Report,2935,"Definitions, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.02.6,Genetic Analysis of Drosophila Melanogaster Mutants: To Determine Inheritance and Linkage Patterns,Biology,Final Year Undergraduate,Male,NS,,ResearchPaper,2064,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.03.1,Lab 3: Plant Competition,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1125,"Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.03.2,The Effects of Motor Oil on Aquatic Insect Predation,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2214,"Abstract, Methodology section, Discussion of results section, Reference to sources"
BIO.G0.03.3,Comparison of Hypothesis Testing in a High vs. Low-impact Journal,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1024,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.04.1,Fetal Endocrine System,Biology,Final Year Undergraduate,Female,NS,,Report,1270,"Abstract, Reference to sources"
BIO.G0.04.2,Drosophila Lab Report,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2380,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.04.3,Conjugation Lab Report,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1091,"Discussion of results section, Tables, graphs or figures"
BIO.G0.05.1,Mn (III) TPPS4: A Metallophorphryin Used for Tumor Identification in MRI,Biology,Final Year Undergraduate,Female,NS,,Report,1327,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.06.1,Global Reproductive Strategies of Tursiops and Stenella (Family Delphinidae),Biology,Final Year Undergraduate,Female,NS,,Report,3408,"Tables, graphs or figures, Literature review section, Reference to sources"
BIO.G0.07.1,Complementation Between Histidine-Requiring Mutants of Saccharomyces Cerevisiae,Biology,Final Year Undergraduate,Female,NS,,Report,970,"Tables, graphs or figures, Methodology section, Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G0.07.2,"Plasmid Transfer, Genetic Stability and Nisin Resistance in Lactococci",Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1370,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.07.3,Genetic Analysis of a Mutant Strain of Drosophila Melanogaster,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2303,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.08.1,Analysis of a Mutant Strain of Drosophila,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2406,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.09.1,Nest Selection In Weaver Birds,Biology,Final Year Undergraduate,Male,NS,,Report,1434,"Problem-solution pattern, Tables, graphs or figures, Reference to sources"
BIO.G0.10.1,Bacterial Conjugation and Gene Mapping in E. Coli,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1206,"Abstract, Tables, graphs or figures, Methodology section, Definitions, Discussion of results section"
BIO.G0.10.2,Drosophila Melanogaster Genetic Analysis Experiment,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2261,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.11.1,Exploring the Molecular Responses of Arabidopsis in Hypobaric Environments:,Biology,Final Year Undergraduate,Male,NS,,Proposal,2839,"Abstract, Discussion of results section, Reference to sources"
BIO.G0.11.2,Mapping of Genes in a Mutant Strain of Drosophila Melanogaster,Biology,Final Year Undergraduate,Male,NS,,ResearchPaper,2056,"Abstract, Tables, graphs or figures, Methodology section, Definitions, Discussion of results section"
BIO.G0.11.3,Fungal Eye Infections Due to ReNu MoistureLoc,Biology,Final Year Undergraduate,Male,NS,,Report,2060,Reference to sources
BIO.G0.12.1,The Effect of Initial Carbon Dioxide Concentration on the Rate of Photosynthesis in the Aquatic Plant Elodea,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1058,"Problem-solution pattern, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.12.2,Lab Report 2: Plant Biodiversity ,Biology,Final Year Undergraduate,Female,NS,,Report,1148,"Definitions, Discussion of results section, Reference to sources"
BIO.G0.13.1,Malaria Disease and Transmission,Biology,Final Year Undergraduate,Female,NS,,Report,2191,"Definitions, Reference to sources"
BIO.G0.14.1,Mapping of Unknown Mutations in Drosophila Melanogaster,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2728,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.15.1,Invading the Territory of Invasives: The Dangers of Biotic Disturbance,Biology,Final Year Undergraduate,Male,NNS,Chinese,Essay,1259,Reference to sources
BIO.G0.16.1,Role of Leptin in Cardiovascular Disease,Biology,Final Year Undergraduate,Male,NS,,Report,1834,"Definitions, Tables, graphs or figures, Reference to sources"
BIO.G0.17.1,Effects of Protein Deficiency on Organ Size in Mus Musculus,Biology,Final Year Undergraduate,Male,NS,,ResearchPaper,2424,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.18.1,Mammal Diversification,Biology,Final Year Undergraduate,Male,NS,,Report,1342,"Abstract, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.19.1,Malaria Disease and Transmission,Biology,Final Year Undergraduate,Female,NS,,Report,1881,
BIO.G0.20.1,A Case for a US International Anti-Malaria Program,Biology,Final Year Undergraduate,Male,NS,,Report,1664,"Definitions, Reference to sources"
BIO.G0.21.1,Prevalence of Haemosporidians in Birds of Northern Michigan,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1524,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.22.1,Trunk Forking in Acer Saccharum: a Phototropic Response to Forest Canopy Gaps,Biology,Final Year Undergraduate,Male,NS,,ResearchPaper,2199,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.23.1,Drosophila Melanogaster lab report,Biology,Final Year Undergraduate,Male,NS,,ResearchPaper,1969,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.24.1,Varying Infectivity of Diplostomum Flexicaudum in Fish Species of Douglas Lake,Biology,Final Year Undergraduate,Female,NS,,Report,2415,"Abstract, Discussion of results section, Methodology section, Definitions, Problem-solution pattern, Reference to sources"
BIO.G0.25.1,Malaria in the Twenty-first Century,Biology,Final Year Undergraduate,Female,NS,,Report,1669,"Definitions, Reference to sources"
BIO.G0.26.1,Case Analysis for Jean Redhorse Osceola ,Biology,Final Year Undergraduate,Female,NS,,Report,1760,"Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G0.27.1,Small Mammal Response to Post-fire Forest Succession in Northern Lower Michigan,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,2111,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.28.1,Niche Partitioning in Bats,Biology,Final Year Undergraduate,Female,NS,,ResearchPaper,1514,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.29.1,Sexual Selection and Male Sacrifice:  From Darwin until Now,Biology,Final Year Undergraduate,Female,NS,,Report,1446,Reference to sources
BIO.G0.30.1,Assessing selection hypotheses for the CCR5-delta32 mutation in Europeans,Biology,Final Year Undergraduate,Male,NS,,Report,3186,"Discussion of results section, Reference to sources"
BIO.G0.31.1, Neurobiology Disease Explanation to a Parent,Biology,Final Year Undergraduate,Male,NS,,ResponsePaper,523,Reference to sources
BIO.G0.32.1,Mangrove Deforestation,Biology,Final Year Undergraduate,Male,NS,,Report,1230,Reference to sources
BIO.G1.01.1,V. Cholerae: First Steps towards a Spatially Explicit Model ,Biology,First Year Graduate,Male,NNS,Spanish,Proposal,2411,"Abstract, Methodology section, Reference to sources"
BIO.G1.02.1,Biological Significance of Modular Structures in Protein Networks,Biology,First Year Graduate,Male,NNS,Chinese,ResearchPaper,1626,"Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G1.03.1,Dispersal: a Review and Synthesis,Biology,First Year Graduate,Female,NS,,Report,2251,"Discussion of results section, Reference to sources"
BIO.G1.04.1,The Evolution of Terrestriality: A Look at the Factors that Drove Tetrapods to Move Onto Land,Biology,First Year Graduate,Male,NS,,Essay,3716,"Tables, graphs or figures, Literature review section, Reference to sources"
BIO.G1.05.1,Inferring Swimming Mode from Skeletal Proportions in Fossil Pinnipedimorphs,Biology,First Year Graduate,Male,NS,,ResearchPaper,3513,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G1.06.1,Temp effects on nitrogen mineralization,Biology,First Year Graduate,Female,NS,,Report,3512,"Discussion of results section, Reference to sources"
BIO.G1.07.1,Zebrafish and PGC mis-migration,Biology,First Year Graduate,Male,NNS,Chinese,Proposal,1185,
BIO.G1.08.1,"Boc, sonic hedgehog and commissural axons",Biology,First Year Graduate,Female,NNS,Chinese,Report,862,
BIO.G1.08.2,Drosophila neuroblasts,Biology,First Year Graduate,Female,NNS,Chinese,ResponsePaper,771,
BIO.G2.01.1,Relationships and Biogeography of Antillean Cichlids,Biology,Second Year Graduate,Male,NS,,ResearchPaper,3758,"Abstract, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G2.02.1,Modularity and the Evolution of Complex Systems,Biology,Second Year Graduate,Female,NS,,Report,2906,Reference to sources
BIO.G2.03.1,"Cholera Seasonality, Rainfall, and Fadeouts: a Geostatistical Approach",Biology,Second Year Graduate,Male,NNS,Spanish,ResearchPaper,2442,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G2.04.1,Polyphyly of the Old World Vultures and Phylogenetic Placement of Gypohierax Angolensis (Aves: Accipitridae) Inferred from Mitochondrial DNA,Biology,Second Year Graduate,Female,NS,,ResearchPaper,1411,"Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G2.05.1,Application of Microarray Analysis in Drosophila,Biology,Second Year Graduate,Male,NNS,Chinese,Report,791,"Literature review section, Reference to sources"
BIO.G2.05.2,Assignment: Subcellular Protein Localization,Biology,Second Year Graduate,Male,NNS,Chinese,Report,550,"Definitions, Methodology section, Tables, graphs or figures, Discussion of results section"
BIO.G2.06.1,A Conserved Role of Cas-Spg System in Endoderm Specification during Early Vertebrate Development,Biology,Second Year Graduate,Female,NNS,Chinese,Proposal,1713,"Methodology section, Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G2.07.1,Biofuels and Biodiversity,Biology,Second Year Graduate,Male,NS,,Report,3898,"Definitions, Problem-solution pattern, Reference to sources"
BIO.G3.01.1,Do Programming-Oriented Environments Provide Favorable Growing Conditions for Hypotheses?,Biology,Third Year Graduate,Male,NS,,ResearchPaper,1578,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G3.02.1,Linking scales to understand diversity,Biology,Third Year Graduate,Female,NS,,Proposal,8555,"Definitions, Literature review section, Reference to sources"
BIO.G3.03.1,Intracellular Electric Field Sensing using Nano-sized Voltmeters,Biology,Third Year Graduate,Female,NS,,Essay,1148,
CEE.G0.01.1,Mix Proportioning and Fresh Concrete Properties,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,Report,1651,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.01.2,Self-Compacting Concrete and Fresh Concrete Properties,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,ResearchPaper,1566,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G0.01.3,Gradation Analysis and Permeability Tests ,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,ResearchPaper,857,"Methodology section, Tables, graphs or figures, Discussion of results section"
CEE.G0.02.1,Assessment of Candidate Michigan Aggregate,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,Report,1110,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.03.1,Glacier Way Dam Site Soils Evaluation,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,ResearchPaper,1357,"Discussion of results section, Methodology section, Problem-solution pattern"
CEE.G0.04.1,Gradation Analyses and Permeability Tests for Glacier Way dam project,Civil and Environmental Engineering,Final Year Undergraduate,Male,NS,,ResearchPaper,1133,"Methodology section, Discussion of results section, Tables, graphs or figures"
