rank_eng,count_eng,token
1,14423,the
2,8936,of
3,6694,and
4,6304,to
5,5125,in
6,4431,a
7,3880,is
8,3477,that
9,3059,s
10,2592,as
11,2071,his
12,1787,for
13,1713,her
14,1600,with
15,1565,it
16,1513,he
17,1486,this
18,1283,not
19,1141,by
20,1081,are
21,1008,be
22,977,on
23,949,from
24,949,she
25,890,but
26,885,i
27,882,an
28,858,or
29,813,their
30,715,which
31,701,one
32,669,was
33,661,at
34,639,they
35,596,has
36,558,have
37,521,more
38,513,when
39,512,who
40,509,what
41,502,these
42,466,can
43,462,god
44,461,him
45,456,all
46,436,only
47,425,also
48,423,so
49,421,we
50,415,into
51,408,my
52,406,desire
53,404,does
54,392,between
55,390,about
56,388,life
57,387,through
58,374,own
59,370,man
60,370,other
61,365,than
62,361,will
63,355,its
64,353,them
65,350,both
66,348,love
67,343,no
68,341,even
69,338,because
70,337,if
71,333,would
72,330,trauma
73,326,people
74,319,like
75,308,women
76,304,there
77,304,way
78,295,such
79,282,had
80,280,however
81,277,time
82,271,first
83,262,world
84,261,do
85,261,family
86,259,out
87,256,how
88,256,while
89,251,being
90,238,you
91,236,woman
92,234,reader
93,233,though
94,231,then
95,228,two
96,226,may
97,223,been
98,223,novel
99,220,most
100,217,story
101,211,after
102,209,sports
103,207,up
104,205,himself
105,202,power
106,199,rather
107,199,self
108,198,characters
109,195,relationship
110,193,could
111,191,some
112,190,me
113,190,nature
114,190,within
115,189,were
116,186,just
117,185,character
118,183,text
119,182,new
120,181,seems
121,178,over
122,178,those
123,175,men
124,175,much
125,173,yet
126,172,history
127,171,book
128,171,well
129,170,any
130,167,thus
131,166,here
132,166,see
133,164,same
134,164,social
135,163,our
136,163,ways
137,161,must
138,161,very
139,159,american
140,159,many
141,157,end
142,157,work
143,151,sense
144,150,play
145,149,mother
146,147,experience
147,147,human
148,146,death
149,146,each
150,144,another
151,144,where
152,143,t
153,143,writing
154,142,society
155,140,fact
156,139,bloom
157,139,cannot
158,137,eve
159,136,herself
160,136,upon
161,135,jesus
162,135,juani
163,135,place
164,135,words
165,134,before
166,134,still
167,133,never
168,133,order
169,130,becomes
170,130,make
171,130,narrative
172,129,adam
173,129,different
174,129,us
175,128,violence
176,127,jewish
177,126,good
178,126,memory
179,126,part
180,126,sexual
181,125,students
182,124,reading
183,124,without
184,123,alban
185,123,makes
186,123,understanding
187,122,act
188,122,become
189,122,itself
190,122,should
191,121,made
192,120,actions
193,119,body
194,116,know
195,116,use
196,115,important
197,114,chaucer
198,114,father
199,114,language
200,114,point
201,113,instead
202,113,past
203,112,personal
204,111,readers
205,111,subject
206,110,others
207,110,perhaps
208,110,reality
209,108,too
210,107,identity
211,107,stephen
212,107,terms
213,106,later
214,106,moment
215,106,throughout
216,105,example
217,105,pardoner
218,104,ultimately
219,103,children
220,103,might
221,103,need
222,103,says
223,102,physical
224,101,space
225,100,animals
226,100,back
227,100,narrator
228,100,role
229,100,wife
230,99,again
231,99,read
232,98,away
233,96,husband
234,96,once
235,95,against
236,95,further
237,95,modern
238,94,miss
239,93,themselves
240,93,why
241,91,did
242,90,given
243,90,house
244,90,idea
245,89,english
246,89,present
247,88,although
248,88,class
249,88,form
250,88,true
251,87,certain
252,87,control
253,87,home
254,87,lonelyhearts
255,86,come
256,85,beccah
257,85,means
258,85,name
259,85,state
260,84,able
261,84,cultural
262,84,look
263,84,public
264,84,something
265,83,individual
266,83,male
267,83,nothing
268,83,often
269,83,person
270,83,understand
271,82,around
272,82,seem
273,81,christian
274,81,knowledge
275,81,lack
276,81,particular
277,81,question
278,80,jimmy
279,80,now
280,80,take
281,80,tale
282,79,actually
283,79,land
284,79,mind
285,79,writes
286,78,poem
287,78,simply
288,77,action
289,77,lives
290,77,making
291,77,marriage
292,77,rhetoric
293,76,despite
294,76,found
295,75,aids
296,75,always
297,75,images
