token,count,rank
the,138412,1
of,77608,2
and,60166,3
to,60046,4
in,47217,5
a,40382,6
is,30369,7
that,30203,8
for,20030,9
as,19078,10
this,15698,11
be,15365,12
with,14193,13
are,13627,14
s,13323,15
it,12881,16
on,12320,17
not,11577,18
by,10532,19
from,9119,20
was,8976,21
or,8604,22
an,8580,23
have,8289,24
their,8187,25
i,7214,26
which,7154,27
they,6720,28
at,6665,29
more,6344,30
will,6035,31
can,5923,32
we,5896,33
one,5875,34
these,5871,35
were,5851,36
his,5624,37
has,5391,38
but,5314,39
also,5237,40
would,5129,41
he,4760,42
other,4455,43
all,4123,44
there,4088,45
if,3912,46
than,3876,47
between,3761,48
her,3702,49
when,3678,50
about,3547,51
may,3480,52
such,3475,53
only,3354,54
two,3183,55
because,3177,56
time,3103,57
been,3101,58
who,3094,59
however,3043,60
what,3005,61
into,2946,62
its,2937,63
social,2861,64
both,2817,65
some,2745,66
so,2734,67
had,2712,68
how,2703,69
most,2666,70
could,2661,71
women,2658,72
no,2578,73
first,2553,74
while,2549,75
she,2491,76
people,2483,77
different,2475,78
them,2454,79
students,2446,80
many,2414,81
through,2410,82
each,2375,83
do,2371,84
our,2356,85
used,2286,86
does,2236,87
should,2210,88
study,2154,89
use,2152,90
my,2126,91
then,2121,92
well,2072,93
out,2071,94
even,2015,95
al,1987,96
being,1928,97
et,1912,98
state,1907,99
any,1904,100
children,1894,101
system,1862,102
research,1851,103
new,1839,104
over,1822,105
where,1819,106
way,1810,107
those,1768,108
same,1761,109
order,1734,110
up,1716,111
like,1714,112
thus,1711,113
data,1708,114
important,1668,115
work,1630,116
within,1622,117
found,1619,118
after,1605,119
since,1577,120
very,1573,121
model,1568,122
must,1568,123
states,1553,124
life,1504,125
education,1499,126
much,1496,127
make,1486,128
based,1476,129
using,1471,130
during,1459,131
process,1445,132
world,1420,133
individual,1409,134
high,1403,135
example,1391,136
p,1391,137
results,1388,138
analysis,1385,139
self,1374,140
group,1373,141
information,1364,142
another,1362,143
power,1358,144
case,1349,145
community,1332,146
own,1323,147
us,1304,148
part,1301,149
society,1297,150
number,1296,151
see,1291,152
language,1274,153
political,1261,154
did,1254,155
family,1244,156
level,1244,157
development,1243,158
three,1241,159
might,1237,160
given,1234,161
t,1226,162
less,1221,163
need,1213,164
although,1211,165
possible,1202,166
theory,1194,167
made,1182,168
fact,1177,169
school,1168,170
due,1165,171
likely,1156,172
class,1148,173
rather,1146,174
second,1135,175
still,1133,176
able,1132,177
often,1119,178
just,1104,179
point,1101,180
human,1098,181
higher,1092,182
health,1090,183
american,1089,184
non,1089,185
change,1086,186
studies,1079,187
control,1071,188
though,1064,189
groups,1059,190
whether,1050,191
therefore,1045,192
years,1036,193
water,1031,194
without,1031,195
take,1020,196
you,1008,197
experience,1007,198
care,1006,199
further,1005,200
figure,997,201
support,991,202
e,990,203
behavior,989,204
individuals,983,205
economic,975,206
him,964,207
role,963,208
public,960,209
form,946,210
before,940,211
increase,939,212
under,936,213
relationship,932,214
result,931,215
large,928,216
specific,925,217
problem,924,218
provide,923,219
seems,923,220
against,919,221
good,917,222
gender,905,223
effects,902,224
question,902,225
sense,894,226
above,892,227
design,890,228
energy,882,229
history,882,230
body,876,231
shown,876,232
nature,867,233
significant,867,234
among,865,235
similar,865,236
b,856,237
culture,856,238
movement,853,239
identity,852,240
government,849,241
values,849,242
certain,847,243
factors,838,244
year,838,245
participants,837,246
questions,837,247
knowledge,835,248
others,835,249
levels,832,250
value,832,251
white,832,252
following,827,253
idea,823,254
particular,823,255
population,823,256
ability,822,257
set,821,258
man,820,259
structure,817,260
national,815,261
better,814,262
response,813,263
long,811,264
paper,809,265
effect,806,266
english,806,267
place,801,268
help,800,269
why,800,270
present,798,271
person,794,272
men,791,273
current,790,274
find,790,275
understanding,787,276
cultural,785,277
united,783,278
words,779,279
ways,778,280
according,775,281
me,775,282
several,775,283
rights,774,284
cannot,772,285
type,772,286
environment,769,287
necessary,767,288
end,766,289
policy,766,290
changes,764,291
become,760,292
black,760,293
violence,759,294
low,757,295
making,755,296
addition,754,297
here,753,298
terms,753,299
quality,748,300
either,746,301
systems,746,302
potential,745,303
negative,742,304
increased,741,305
table,739,306
test,739,307
upon,738,308
general,737,309
right,735,310
future,731,311
small,730,312
yet,729,313
age,724,314
area,723,315
problems,715,316
word,715,317
think,713,318
lower,709,319
common,706,320
now,705,321
least,697,322
members,697,323
seen,693,324
instead,692,325
child,691,326
include,689,327
u,689,328
related,683,329
every,680,330
sexual,680,331
greater,676,332
risk,675,333
having,673,334
show,671,335
amount,669,336
desire,665,337
understand,661,338
natural,660,339
god,658,340
shows,657,341
cost,654,342
m,654,343
areas,653,344
evidence,653,345
hand,649,346
themselves,649,347
positive,646,348
section,646,349
know,645,350
project,643,351
issues,642,352
species,642,353
position,640,354
focus,637,355
itself,637,356
differences,633,357
perhaps,633,358
male,631,359
reading,631,360
best,630,361
means,629,362
four,628,363
space,628,364
rate,624,365
argument,622,366
land,622,367
makes,622,368
early,620,369
act,619,370
female,619,371
past,615,372
stress,614,373
student,614,374
once,613,375
considered,612,376
term,610,377
true,609,378
clear,608,379
impact,608,380
around,607,381
difficult,607,382
needs,607,383
including,605,384
subject,605,385
average,604,386
throughout,602,387
few,598,388
learning,598,389
too,598,390
especially,594,391
times,594,392
decision,593,393
patient,593,394
actually,589,395
determine,587,396
lack,587,397
difference,586,398
method,582,399
context,581,400
various,576,401
believe,575,402
conditions,575,403
resources,575,404
account,573,405
something,573,406
status,573,407
variables,573,408
personal,572,409
processes,572,410
reason,572,411
field,567,412
enough,566,413
later,566,414
come,564,415
size,563,416
issue,562,417
done,561,418
below,559,419
strong,559,420
treatment,559,421
view,559,422
environmental,558,423
c,557,424
create,557,425
production,555,426
associated,554,427
g,549,428
great,548,429
get,547,430
lead,547,431
simply,547,432
party,546,433
say,546,434
influence,543,435
physical,543,436
home,541,437
major,541,438
force,537,439
college,536,440
patients,536,441
day,535,442
back,534,443
color,532,444
literature,532,445
never,532,446
countries,530,447
period,527,448
market,525,449
down,523,450
developed,522,451
little,522,452
consider,519,453
seem,519,454
taken,518,455
action,516,456
along,516,457
compared,516,458
overall,515,459
thought,515,460
ideas,513,461
sex,510,462
f,509,463
finally,509,464
total,509,465
working,509,466
always,508,467
next,508,468
available,507,469
n,507,470
play,506,471
single,506,472
events,505,473
country,503,474
interaction,503,475
previous,503,476
effective,502,477
parents,502,478
interest,501,479
far,500,480
function,499,481
rates,498,482
theories,498,483
d,497,484
again,496,485
things,496,486
already,495,487
cases,495,488
experiences,495,489
suggests,495,490
local,492,491
provided,491,492
specifically,490,493
multiple,489,494
created,487,495
material,487,496
race,487,497
included,485,498
sample,484,499
mean,483,500
organization,482,501
subjects,482,502
meaning,481,503
programs,481,504
activity,479,505
larger,479,506
per,479,507
love,478,508
cause,477,509
situation,476,510
allow,475,511
war,474,512
expected,473,513
international,473,514
known,472,515
practice,472,516
approach,471,517
towards,471,518
university,471,519
program,470,520
give,468,521
text,468,522
concept,467,523
points,467,524
together,466,525
city,465,526
despite,465,527
feel,465,528
researchers,465,529
third,465,530
across,464,531
income,464,532
types,464,533
required,463,534
real,458,535
himself,456,536
initial,456,537
occur,456,538
off,456,539
attention,454,540
concrete,453,541
task,453,542
defined,452,543
flow,452,544
cross,450,545
food,449,546
jewish,449,547
directly,448,548
percent,448,549
schools,448,550
woman,447,551
claim,445,552
course,444,553
said,444,554
content,443,555
needed,443,556
explain,442,557
primary,441,558
free,440,559
goal,439,560
involved,439,561
moral,439,562
provides,439,563
writing,439,564
book,437,565
methods,437,566
argues,435,567
growth,435,568
workers,435,569
importance,434,570
main,434,571
observed,434,572
discussion,433,573
five,432,574
almost,431,575
suggest,430,576
furthermore,429,577
look,429,578
particularly,429,579
labor,428,580
cognitive,427,581
x,426,582
experiment,425,583
actions,424,584
limited,424,585
management,424,586
pressure,424,587
toward,424,588
nation,422,589
mental,421,590
participation,421,591
males,420,592
determined,419,593
mind,419,594
complex,418,595
plan,418,596
produce,417,597
report,417,598
story,416,599
increasing,415,600
racial,415,601
light,414,602
range,413,603
performance,412,604
trauma,412,605
authors,411,606
choice,411,607
discussed,411,608
poor,411,609
providers,411,610
clearly,410,611
strength,410,612
hypothesis,408,613
law,407,614
organizations,407,615
until,407,616
access,406,617
educational,406,618
final,405,619
last,405,620
mother,405,621
outside,405,622
presence,405,623
described,404,624
americans,403,625
go,402,626
historical,402,627
measure,402,628
line,398,629
factor,397,630
left,397,631
benefits,396,632
job,396,633
middle,396,634
definition,395,635
put,394,636
