Year,AF_first_pl,RF_first_pl,AF_first_sing,RF_first_sing,AF_second,RF_second
1800,104442,5672.49,236846,12863.66,98483,5348.84
1801,126814,6359.38,200603,10059.71,78919,3957.58
1802,115818,4958.84,162318,6949.77,69956,2995.22
1803,170391,6102.23,183530,6572.78,91388,3272.89
1804,134866,3743.74,170764,4740.23,80542,2235.76
1805,154443,5460.13,244560,8646.1,79699,2817.65
1806,181813,5906.1,256508,8332.53,90677,2945.59
1807,233105,5995.12,395751,10178.13,151231,3889.44
1808,174017,5515.05,244661,7753.94,87088,2760.05
1809,278942,6086.48,486127,10607.23,218923,4776.87
1810,385668,5858.48,522221,7932.79,231181,3511.75
1811,325231,6130.68,411932,7765.01,161648,3047.1
1812,249197,5725.46,341601,7848.5,116604,2679.05
1813,255328,5791.94,488794,11087.95,212017,4809.46
1814,256924,6554.15,333890,8517.56,103462,2639.32
1815,270355,7589.66,294208,8259.29,112521,3158.8
1816,253548,5817.73,333694,7656.7,126066,2892.62
1817,274178,5520.58,432292,8704.2,156572,3152.58
1818,338948,5219.62,370384,5703.72,154604,2380.82
1819,265586,4422.07,335663,5588.87,126912,2113.12
1820,229845,5535.06,351077,8454.53,133958,3225.94
1821,348073,5213.81,447154,6697.95,200010,2995.96
1822,417422,4829.44,584505,6762.54,238510,2759.48
1823,405173,4488.18,733996,8130.62,320603,3551.39
1824,644699,6013.86,902750,8421,359110,3349.84
1825,513276,5090.21,908481,9009.5,371941,3688.58
1826,489337,5596.04,750992,8588.31,283736,3244.79
1827,611742,5926.33,787610,7630.07,332283,3219.03
1828,560018,5560.59,722370,7172.63,304802,3026.47
1829,866668,5942.14,1201271,8236.27,482366,3307.25
1830,850305,5964.03,1267033,8886.96,500698,3511.89
1831,976318,5075.04,1620969,8426.03,685539,3563.53
1832,1091329,5244.95,1583084,7608.34,644945,3099.62
1833,1151551,6121.21,1631036,8669.98,667989,3550.78
1834,926493,5762.58,1629693,10136.33,695241,4324.24
1835,1209429,5672.06,2085103,9778.86,830178,3893.43
1836,1382685,5607.12,2277260,9234.83,884882,3588.41
1837,937647,5241.42,1745909,9759.58,677902,3789.45
1838,893336,5379.4,1400897,8435.77,502177,3023.96
1839,1137386,5213.79,1981337,9082.47,821471,3765.63
1840,1263019,5876.36,1844779,8583.08,718874,3344.66
1841,1434641,6415.37,1853833,8289.9,723903,3237.12
1842,1120411,5523.58,1674071,8253.1,656949,3238.73
1843,1344245,5737.08,1945562,8303.43,700468,2989.52
1844,1611188,5903.38,2096038,7679.86,832017,3048.5
1845,1810150,5870.9,2520602,8175.12,936615,3037.74
1846,1665533,5344.97,2411834,7739.97,940078,3016.86
1847,1559017,5330.76,2602710,8899.46,981422,3355.78
1848,1627541,5427.85,2515361,8388.73,976898,3257.96
1849,1692584,5936.23,2381539,8352.53,891940,3128.21
1850,1905024,5491.65,3055704,8808.74,1168689,3369
1851,1892270,5055.9,2986191,7978.71,1162087,3104.94
1852,1972822,5412.04,3225468,8848.43,1283240,3520.31
1853,2382137,5564.41,4138277,9666.56,1553450,3628.69
1854,2683299,5403.88,4417740,8896.86,1632829,3288.34
1855,2374988,5193.01,4191170,9164.16,1696919,3710.38
1856,2742410,5290.87,4681424,9031.77,1813108,3497.99
1857,2200262,5159.67,3928847,9213.25,1463009,3430.8
1858,1871668,5405,2840803,8203.66,1124992,3248.75
1859,2335154,5276.24,3924553,8867.46,1461948,3303.24
1860,2493308,5478.75,3817336,8388.14,1454644,3196.41
1861,1261436,4942.65,2277270,8922.96,856503,3356.01
1862,1030273,5216.65,1655278,8381.28,624757,3163.37
1863,1112675,5091.85,1896020,8676.6,782009,3578.64
1864,1754994,5090.62,3265625,9472.43,1248797,3622.32
1865,1576582,5265.16,2674508,8931.79,1031737,3445.59
1866,1949962,5195.62,3203734,8536.27,1267280,3376.63
1867,1685179,4925.63,3272622,9565.58,1370066,4004.58
1868,1799894,4708.27,3403130,8902.11,1431029,3743.37
1869,1891575,5020.26,3484120,9246.88,1397676,3709.44
1870,1742051,4781.97,3206245,8801.21,1220598,3350.57
1871,1906306,5104.26,3360475,8997.9,1344939,3601.16
1872,1914773,4813.37,3435467,8636.11,1351487,3397.38
1873,1810963,4583.46,3536226,8950.02,1364709,3454.01
1874,1967517,4708.55,3452377,8262.04,1298521,3107.55
1875,1996257,4801.93,3801067,9143.34,1422173,3420.99
1876,1899991,4270.76,3492978,7851.44,1288300,2895.81
1877,1902528,4653.75,3382890,8274.85,1272963,3113.78
1878,1644735,4355.76,2649047,7015.49,1000108,2648.59
1879,1895671,4390.06,3187272,7381.19,1201893,2783.38
1880,2758367,4438.19,5233077,8419.98,1971853,3172.7
1881,2583197,4441.86,4752671,8172.32,1872261,3219.39
1882,2559089,4490.77,4761077,8354.89,1826607,3205.39
1883,3174140,4637.6,5864170,8567.9,2427512,3546.74
1884,3175667,4708.38,5490239,8140.07,2171683,3219.83
1885,2724176,4471.31,4742612,7784.25,1908992,3133.31
